Datetime,Tweet
2021-10-26 20:40:00+00:00,"Itb! Tuhan saya cuma takut akan masa depan, liat orang IPK besar, liat orang pengalaman abcd, saya bukan orang yang dapat 2 hal tersebut. Disisi lain punya impian yang tinggi, disisi lain impian itu harus di kubur hidup2. Bingung harus apa, tidak punya background bagus  (cont..)"
2021-10-26 17:00:00+00:00,tolong rekomendasi makanan deket itb! yang murah dan enak 🙏
2021-10-26 16:05:00+00:00,"itb! Contoh matkul syarat itu kalau di tpb kayak matdas 1 untuk syarat matdas 2, begitu juga untuk kimdas dan fidas, begitu? https://t.co/35g5mh1vAJ"
2021-10-26 15:40:00+00:00,itb! Kalau sistem ngulang matkul itu gimana ya? Per semester atau per tingkat? Dan kalau pertingkat brrti akumulasi dr indeks sem 1 dan sem 2?
2021-10-26 15:15:00+00:00,"itb! Gua doang yang baru tau atau gimana ini Lucinta Luna udah mengakui dirinya sebagai M Fathah, terharuu🥲"
2021-10-26 13:45:00+00:00,itb! keep yourself safe and healthy yo. if you die you'll just be another statistic
2021-10-26 13:35:00+00:00,Cape bgt woy hidup ini pengen jadi anjing itb!
2021-10-26 12:05:01+00:00,"mau coba ke psikolog, tapi bingung nanti gimana ngobrolnya... takut gabisa terbuka jadinya malah diem... ada yg punya tips ngga? itb!"
2021-10-26 11:25:00+00:00,itb! helo guyss yuk join buat nambah insight tentang inovasi di bidang kesehatan dan pengembangan vaksin. yuuk join🤩🥳 https://t.co/U2BZAREoS6
2021-10-26 11:24:58+00:00,"udahan yaa ada yg mau dikerjain dulu, nanti kpn2 kita opfol lagi"
2021-10-26 11:22:20+00:00,@doydoyye boleh karena lo first reply
2021-10-26 11:20:55+00:00,anak itb yang belom difollback komen aja coba
2021-10-26 11:15:00+00:00,"itb! gais... emang aneh ya, kalo tidur 5-6 jam di itb tuh? Aku dari awal kuliah sampai udah tingkat 2 gini selalu tidur jam 10 soalnya ga bisa begadang, tiap ditanya temen pasti pada kaget semua 😢 tapi masih aktif organisasi sama ip standar"
2021-10-26 11:05:00+00:00,itb! Minta rekomendasi shopee buat cardigan cowok yang bahannya enak dong gaes. Makasih
2021-10-26 11:04:42+00:00,"🗨️ Replies: 10
📎 Quoteds: 0
🔃 Retweets: 0
❤️ Likes: 24

📊 Score: 54 https://t.co/b3FEkZd4L0"
2021-10-26 11:04:41+00:00,"🗨️ Replies: 18
📎 Quoteds: 3
🔃 Retweets: 2
❤️ Likes: 15

📊 Score: 77 https://t.co/xnGMvX8bia"
2021-10-26 11:04:41+00:00,"🗨️ Replies: 8
📎 Quoteds: 4
🔃 Retweets: 0
❤️ Likes: 46

📊 Score: 78 https://t.co/Z1yOB4fIn5"
2021-10-26 11:04:41+00:00,"🗨️ Replies: 12
📎 Quoteds: 6
🔃 Retweets: 4
❤️ Likes: 67

📊 Score: 119 https://t.co/fXRBB92r7s"
2021-10-26 11:04:41+00:00,"🗨️ Replies: 21
📎 Quoteds: 6
🔃 Retweets: 6
❤️ Likes: 85

📊 Score: 166 https://t.co/ZVJiaIxjLP"
2021-10-26 10:15:00+00:00,当你对我说不怕有我在放着让我来勇敢追自己的梦想那坚定的模样Super Idol的笑容
2021-10-26 10:15:00+00:00,Itb! Super Idol的笑容都没你的甜八月正午的阳光都没你耀眼热爱 105 °C的你滴滴清纯的蒸馏水你不知道你有多可爱跌倒后会傻笑着再站起来你从来都不轻言失败对梦想的执着一直不曾更改很安心  (cont..)
2021-10-26 09:45:00+00:00,"itb! kakak kakak atau temen temen mau nanya dong, kan nim udah ganti jurusan, itu bakal ada ktm baru lagi atau  ktm tpb masih berlaku? aku angkatan 20 btw thank youu"
2021-10-26 08:35:00+00:00,Itb! Beli bubble wrap di mana gaes?
2021-10-26 08:05:00+00:00,itb! gaes kalau mau mengundurkan diri admnistrasinya gimana ya
2021-10-26 07:15:00+00:00,Yg bikin infografis ini kyanya udh pnya cucu itb! https://t.co/IOf9GcJYus
2021-10-26 06:35:00+00:00,"How to fess viral:
1. Itb!
2. Depression/anxiety
3. Wibu
4. Halu"
2021-10-26 05:20:00+00:00,"Itb! Me to kuis: 
DAAaaaIiiissSsuUkkiiIi DdDaaaYyyyooOooOo"
2021-10-26 05:10:00+00:00,itb! pengen pakai ini ntar pas sidang https://t.co/IYiWdk0oV6
2021-10-26 05:10:00+00:00,"itb! Yuuk gasspoll daftar ikutan iniii 🙌, info lebih lanjut bisa dicek di instagram @FBMITB https://t.co/rm1z1QrYry"
2021-10-26 04:55:00+00:00,ada anak itb! yang mau kerjasama bikin website pemilu himpunan gitu gaa? rep yu
2021-10-26 04:55:00+00:00,itb! ada yang sebenernya belum dapet offline tapi udah ngekos ga?
2021-10-26 04:45:00+00:00,bhkan bapak wibu indonesia pun dulunya kuliah di itb! ada apa ini # itbKampusWibu https://t.co/AU5Lxbj4fv
2021-10-26 04:30:00+00:00,Ini beneran? Kalau bener keren sih itb! (Pic dari bes sono) https://t.co/1oNP0xB98E
2021-10-26 04:05:00+00:00,Ortu brantem trus tu normal gk si? Ortu kelen sring brantem gk? Itb!
2021-10-26 03:55:00+00:00,itb! slamat pagi tmn tmn cipitas itebeh yg mrupakan putraputri terbaik bangsah https://t.co/FKTHGhcpsg
2021-10-26 03:00:00+00:00,"itb! ada yg sekarang gabisa masuk ke ms teams di pc ga? aku gitu padahal jaringannya stabil, kenapa ya?"
2021-10-25 21:05:00+00:00,ITB! Bandung dingin banget kaya dia
2021-10-25 19:30:00+00:00,Itb! Biasalah ginih ginih ajah https://t.co/x7uPT58UHa
2021-10-25 17:45:00+00:00,"Itb! This is no sense. yang ngirim DM and which is anak ITB yang harusnya menjunjung tinggi attitude dan budi pekerti,bersikap yang baik sebagai anak ITB dan menunjukkan sisi yg pantas mlh ngejulid kayak gini. it's not worth it tho. memalukan tau ga. sampah!"
2021-10-25 16:20:01+00:00,yg udah ngerasain full offline di Itb! boleh drop foto keadaan kampus gaa?
2021-10-25 16:20:00+00:00,"Bukan sender, tapi gue juga gapunya temen. Dan ngebaca reply orang orang di twt itb! ini bikin gue mikir ""kenapa orang orang ini yg gatau apa apa ttg sender mau jadi temennya? Just to be friendly or what?"" Kalo ada yg berkenan jawab, terima kasih yaa https://t.co/b3FEkZd4L0"
2021-10-25 16:05:01+00:00,Itb! Stressed itb bf psikologi gf
2021-10-25 15:35:00+00:00,itb! wawancara magang pake  ‘aku’ sopan gaa?
2021-10-25 14:50:00+00:00,Share playlist melow kalian buat nugas dong itb!
